model,isl,osl,concurrency,method,requested_batch_schedule_k,k_selection_basis,mean_draft_width,output_tok_s,tok_s_gpu,baseline_tok_s_gpu,throughput_speedup,latency_s,acceptance_rate,mean_accepted_length,num_drafts,num_draft_tokens,num_accepted_tokens,actual_output_tokens,expected_output_tokens,tokens_ok,weights,kv_cache,tp,pp,dp,expert_parallel,nodes,runner,cudagraph_mode,cuda_graph_verified,drafter_decode_full_verified,piecewise_completed_entries,full_completed_entries,drafter_decode_completed_entries,temperature,top_p,warmup_repeats,measure_repeats,max_num_seqs,max_num_batched_tokens,prefix_caching,chunked_prefill,job_id,vllm_version,vllm_base_commit,patched_vllm_head,patchset_sha256,container_sha256,ray_version,harness_commit,harness_manifest_sha256,baseline_harness_commit,harness_pair_exception,result_quality
super,1000,10000,1,baseline,0,baseline,,202.85024178552257,101.42512089276129,101.42512089276129,1.0,49.29745171599643,,,,,,10000,10000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821107,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,85cfe1a8a2f7c97684e65e5428a679cab7058142,86012387865c84b68150f0aa2e758dbb7b5ccc75be07ec15dc1c9663d6b87147,85cfe1a8a2f7c97684e65e5428a679cab7058142,False,preliminary_single_repeat
super,1000,10000,1,mtp_dynamic_max_k5,5,active_scheduled_batch,5.0,482.8796116544205,241.43980582721025,101.42512089276129,2.38047343401729,20.709095515005174,0.6531569965870307,4.265784982935154,2344.0,11720.0,7655.0,10000,10000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,4,1,1.0,1.0,1,1,512,32768,False,True,2821109,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,85cfe1a8a2f7c97684e65e5428a679cab7058142,86012387865c84b68150f0aa2e758dbb7b5ccc75be07ec15dc1c9663d6b87147,85cfe1a8a2f7c97684e65e5428a679cab7058142,False,preliminary_single_repeat
super,1000,10000,2,baseline,0,baseline,,340.13705205303177,170.06852602651588,170.06852602651588,1.0,58.79982753799413,,,,,,20000,20000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821835,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,2,mtp_dynamic_max_k5,5,active_scheduled_batch,5.0,577.6767179573567,288.83835897867834,170.06852602651588,1.6983645694303524,34.62144029400952,0.5477659375584222,3.738829687792111,5349.0,26745.0,14650.0,20000,20000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,5,1,1.0,1.0,1,1,512,32768,False,True,2821841,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,4,baseline,0,baseline,,677.1765619948075,338.58828099740373,338.58828099740373,1.0,59.068789803015534,,,,,,40000,40000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821837,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,4,mtp_dynamic_max_k5,5,active_scheduled_batch,5.0,1040.8289985436631,520.4144992718316,338.58828099740373,1.53701273339647,38.43090465001296,0.6110908353609084,4.055454176804542,9864.0,49320.0,30139.0,40000,40000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,4,1,1.0,1.0,1,1,512,32768,False,True,2821843,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,8,baseline,0,baseline,,1207.4846966856283,603.7423483428141,603.7423483428141,1.0,66.25342765799724,,,,,,80000,80000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821838,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,8,mtp_dynamic_max_k5,3,active_scheduled_batch,3.065756478127612,2353.086843202733,1176.5434216013664,603.7423483428141,1.9487508617389666,33.99789524602238,0.8855918082947075,3.715008823256246,21534.0,66018.0,58465.0,80000,80000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,4,1,1.0,1.0,1,1,512,32768,False,True,2821844,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,16,baseline,0,baseline,,2368.890203228887,1184.4451016144435,1184.4451016144435,1.0,67.54217640898423,,,,,,160000,160000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821834,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,16,mtp_dynamic_max_k5,3,active_scheduled_batch,3.0370885044803297,4314.207090103209,2157.1035450516047,1184.4451016144435,1.8211933521540093,37.08676859000116,0.9328820940029346,3.8332454837318513,41738.0,126762.0,118254.0,160000,160000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,5,2,1.0,1.0,1,1,512,32768,False,True,2821840,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,32,baseline,0,baseline,,4370.423340588843,2185.2116702944213,2185.2116702944213,1.0,73.21945154102286,,,,,,320000,320000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821836,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,32,mtp_dynamic_max_k5,2,active_scheduled_batch,2.0018101698634143,6924.192421145875,3462.0962105729377,2185.2116702944213,1.5843299107525255,46.214775750995614,0.9617696221262136,2.925280210637948,109382.0,218962.0,210591.0,320000,320000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,True,3,4,1,1.0,1.0,1,1,512,32768,False,True,2821842,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
super,1000,10000,128,baseline,0,baseline,,9060.9989036152,4530.4994518076,4530.4994518076,1.0,141.26477815699764,,,,,,1280000,1280000,True,BF16,FP8,2,1,1,False,1,MRV2,FULL_AND_PIECEWISE,True,,2,2,0,1.0,1.0,1,1,512,32768,False,True,2821833,0.28.0,2cf0a6915ce544dc493a0990f2ea38d81601128a,bf0719d13bbc74da8af86d2b326f7b16ba4f7462,238e2ffcc14d2fb2f0fc07c419004820efa9a3cfd284c3a41515e84e39aecc25,5ae5c3e3d630d95e1129b71384fe9c5c437a77288492ada30da94f93b8582066,,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,d182f2e26920c6c68e1961d13cbfec60340cf4e3394f65ac3d560589146fc873,f3a842c0ad3c91f97e37b4f58ef84bd9148e281a,False,preliminary_single_repeat
